post	hate_or_not_hate	implicit_or_explicit	implicit_class	extra_implicit_class_x	extra_implicit_class_y
- anti-white dirt.	hate	implicit_hate	inferiority		
It's not your fault you're black.	hate	implicit_hate	inferiority		
All this fun and games while the mud terrorizes the whites, which is the Jewish plan, but when they suddenly turn on the Jew, they become terrorists.	hate	implicit_hate	inferiority		
The mixing of white and non-white is wrong, nothing good comes of it!	hate	implicit_hate	inferiority		
Mostly white flight, unfortunately, is a beautiful state captured by idiots and the third world.	hate	implicit_hate	inferiority		
Not all government is bad, it's just a huge waste of taxpayers' money to subsidize blacks.	hate	implicit_hate	inferiority		
Obama created this level of erroneous hatred in America!	hate	implicit_hate	inferiority		
Only a few white groups degenerate.	hate	implicit_hate	inferiority		
Proof that the opposition to white nationalists is degenerates!	hate	implicit_hate	inferiority		
Racial mixing is becoming increasingly popular in single states.	hate	implicit_hate	inferiority		
They have no rights as illegal.	hate	implicit_hate	inferiority		
Why do coloured people look forward to running to white countries to be oppressed?	hate	implicit_hate	inferiority		
"And his black minions still respond to the ""white "" talka x! """	hate	implicit_hate	inferiority		
(... but keep the pipeline open for white people... Shh.)	hate	implicit_hate	inferiority		
All the blacks were white, the sons of God were white!	hate	implicit_hate	inferiority		
The biological difference between white and black civilization. Race is bone-deep. dna manifests in different ways.	hate	implicit_hate	inferiority		
Everything in society is white superiority.	hate	implicit_hate	inferiority		
It's much deeper than skin. Racial iq k / r choice of evolutionary psychology, etc.	hate	implicit_hate	inferiority		
Milk was walking past Edmund Pettus. White people built it.	hate	implicit_hate	inferiority		
No, I never let a black kid beat me in a cod to make him feel better.	hate	implicit_hate	inferiority		
Pastors take note; the white architect created your church proteins built his white pay. White superiority = good	hate	implicit_hate	inferiority		
Proletariat = bourgeois bourgeoises of the brown population = white	hate	implicit_hate	inferiority		
White colonization is the only colonization that ever helped another race.	hate	implicit_hate	inferiority		
White men think you're a child.	hate	implicit_hate	inferiority		
""" The Benefits of Whites "" is the advantage you enjoy in a civilized white majority society. """	hate	implicit_hate	inferiority		
"I will use immigration if I abandon the people of the third world. """	hate	implicit_hate	inferiority		
"If the brown hik continues this anti - white rhetoric, perhaps it will make the white man do a white thing: support your own tribe... wake up! """	hate	implicit_hate	inferiority		
White people have made their space a better place to live.	hate	implicit_hate	inferiority		
A mad relative of a mixed race who can't pass a test and blames every white man for saying why.	hate	implicit_hate	inferiority		
German and indeed any white race must be saved from barbarians, even if it involves the use of nuclear weapons	hate	implicit_hate	inferiority		
I'm getting racist vibrations from you, Caroline, not that you're white more like a little Mexican country.	hate	implicit_hate	inferiority		
I've seen this woman on YouTube, she's fantastic and so well-versed in the history of Muslims and their infection in the Western world.	hate	implicit_hate	inferiority		
I'm sure we can't keep civilization with your children, maybe with other people.	hate	implicit_hate	inferiority		
Let him pay for the money of the illegitimate.	hate	implicit_hate	inferiority		
Any religion is better than ilam. #tcot #bansharia #banislam	hate	implicit_hate	inferiority		
Remember, these non-white wells are gonna be dumping garbage for decades to come! America is buried in mud + republican smile!	hate	implicit_hate	inferiority		
That black people contributed to science?	hate	implicit_hate	inferiority		
A lack of iq and related aggressive behaviour are unable to study complex sciences that are unable to reflect themselves ( &quot; kangz &quot;, etc.)... impossible &quot;.	hate	implicit_hate	inferiority		
"rt: 110% correct. ""Democratic slave party sucks!"" #maga."	hate	implicit_hate	inferiority		
..obviously too stupid to know the difference between psychotherapy and religious prayer! #tcot	hate	implicit_hate	inferiority		
And here's America: how sorcery empowers faggots and transhumans: it's not so great anymore.	hate	implicit_hate	inferiority		
Dogs and pigs are talking about getting us out of control!	hate	implicit_hate	inferiority		
Europe must be white, your colonies are unnatural and unstable.	hate	implicit_hate	inferiority		
I took this footage with the ghosts of a slaughterhouse truck full of pigs, including the one who locked his eyes with me for a minute.	hate	implicit_hate	inferiority		
If he really wants 2 b chic, it's just as disgusting as white women dating blacks, we have to preserve the white race.	hate	implicit_hate	inferiority		
It's amazing how envious and jealous other people are of whiteness.	hate	implicit_hate	inferiority		
Liberal scientists are developing methods to make white people less resistant to non-white invasion #Swrm #Never	hate	implicit_hate	inferiority		
Liberal scientists developing methods to make white people less resistant to non-white invasion through	hate	implicit_hate	inferiority		
Scientists find whites more altruistic than others #sociology #psychology #anthroplogy	hate	implicit_hate	inferiority		
It doesn't matter for blacks that are a hole in resource absorbers. It's called tuququque fadecy. Your low iq correlates with a low critical thought.	hate	implicit_hate	inferiority		
Tony Abbott : Europe is invaded by non-whites :	hate	implicit_hate	inferiority		
White culture (formed by history) is excellent, why do people all over the globe gather for white culture-based civilizations?	hate	implicit_hate	inferiority		
The white race is the most beautiful creature #body. It must be preserved.	hate	implicit_hate	inferiority		
And I agree that blacks and whites shouldn't date.	hate	implicit_hate	inferiority		
Oh, they must mean illegal aliens.	hate	implicit_hate	inferiority		
I don't want to show you how stupid it is that your commitment to your people ends at the doorstep.	hate	implicit_hate	inferiority		
: The Atlanta subway is worse from Clayton to Rockdale, and more and more cobbs and decalbs become black hellholes.	hate	implicit_hate	inferiority		
Have you helped homeless people with lower levels of genetics to get out of the gene pool, helping only homeless people with the highest European heritage?	hate	implicit_hate	inferiority		
It's funny that most of these white categories are more civilized and prosperous than most non-white civilizations.	hate	implicit_hate	inferiority		
White people are civilization.	hate	implicit_hate	inferiority		
Muslim Refugees is what happened... dirty pigs...	hate	implicit_hate	inferiority		
No Pakistanis should try to come to India. They could go to Mosul or carbala hk pigs.	hate	implicit_hate	inferiority		
Shut up, you're clinically fat and useless, no white man standing on his salt will look at you anyway.	hate	implicit_hate	inferiority		
If I'm half white, can I join you? but I'm white in my heart #whativesmatters #whitepride	hate	implicit_hate	inferiority		
That they'd adopt a black man and then have white kids.	hate	implicit_hate	inferiority		
The children of the richest blacks in America, the ill-mannered poor whites and Asians,	hate	implicit_hate	inferiority		
Top cup: swearing to the Secretary for Agriculture the clot to protect illegal crops of migrants blows robotics through	hate	implicit_hate	inferiority		
Well, they can let them get in there like illegal people from that border!	hate	implicit_hate	inferiority		
And ours between 6 and 10 percent is a high level of iq high agency, creative young white men.	hate	implicit_hate	inferiority		
It's not normal for white people to jump with people.	hate	implicit_hate	inferiority		
White liberal cities like Seattle Bullder Portland and Vermont are fine.	hate	implicit_hate	inferiority		
No white woman is on average closer to white men in intelligence than black men or women.	hate	implicit_hate	inferiority		
We either have laws or we don't, yours is legal or not, it's black and white, illegal.	hate	implicit_hate	inferiority		
When a white man tells the truth that black people are the reason that	hate	implicit_hate	inferiority		
Now the whites are roaring because they see huge competition from Asians in the south, the whole sense of superiority is dead!	hate	implicit_hate	inferiority		
In fact, white privileges exist because being white is the upper echelon of the evolutionary ladder.	hate	implicit_hate	inferiority		
And it's not a coincidence, the best places to live are most white people.	hate	implicit_hate	inferiority		
Black superiority is an oxymoron or a state of transition until the white money runs out.	hate	implicit_hate	inferiority		
The expulsion of white farmers destroyed the Afrocentric Marxism of Zimbabwe, a disaster for the black race:	hate	implicit_hate	inferiority		
Legalize the daku and watch a tsunami in which more children from South America flooded our schools.	hate	implicit_hate	inferiority		
Pretty good microcosm in society is degeneration, blood-spoiled with white achievements.	hate	implicit_hate	inferiority		
:: The poorest black countries are those where white superiority and colonialism left the least mark.	hate	implicit_hate	inferiority		
Voted to avoid senseless wars and immigration in third world countries...	hate	implicit_hate	inferiority		
White people cured polio, one of many unpaid benefits of living in a white society.	hate	implicit_hate	inferiority		
You think you won just because of the olive people.	hate	implicit_hate	inferiority		
"""Incogue man: a monkey burns a beautiful white teenager in the trunk of a car through """	hate	implicit_hate	inferiority		
""" America was built by white people, and a small part of them used blacks as agricultural equipment. """	hate	implicit_hate	inferiority		
"Rosh is a white, filthy Iranian who tries to be recognized as ""white. """	hate	implicit_hate	inferiority		
"I want them to be honest and say, ""The white people we want you to die and replace you with a slave with a low iq."""	hate	implicit_hate	inferiority		
America was supposed to be a white country, Jim the raven was meant to preserve America, which the Founding Fathers had foreseen.	hate	implicit_hate	inferiority		
The black crowd is attacking a young white couple.	hate	implicit_hate	inferiority		
Even the sculptures dive, the white race has a crown in the middle of its hair, and the blacks don't...	hate	implicit_hate	inferiority		
, contains many wonderful articles on its website that prove that white people are the only race that cares about the environment.	hate	implicit_hate	inferiority		
Why are you denying race iq and evolutionary psychology/biology?	hate	implicit_hate	inferiority		
It's a scientific fact that the white race is higher. #opkkk	hate	implicit_hate	inferiority		
Jews aren't white, they admit it, and they have different DNA than gentlemen.	hate	implicit_hate	inferiority		
The main threat to whites (Europeans) is the other whites (anti-whites), but none of them has a low iq of the third world.	hate	implicit_hate	inferiority		
It's a white identifying group of stupid not parasites here.	hate	implicit_hate	inferiority		
What about white trash that has no job and can easily be hired by the corn to fulfill its wishes? 100% manufactured.	hate	implicit_hate	inferiority		
You shouldn't hate them. Jews aren't white.	hate	implicit_hate	inferiority		
Your wrong and white wine that you're pushing is what woke me must suck to not even know that your actions aren't from your own, but from your social engineer.	hate	implicit_hate	inferiority		
: we organize against new driving permits for illegal cars...	hate	implicit_hate	inferiority		
American Indians are Asian bastards who have no claim to America or the white people of the first world built on it.	hate	implicit_hate	inferiority		
I'm not a white souperatologist, I'm a racial realist, no race outnumbers us, blacks are physically superior to Asians.	hate	implicit_hate	inferiority		
Our cities were actually alive when they were run by these white white white supremacs.	hate	implicit_hate	inferiority		
White liberals are immoral evil people.	hate	implicit_hate	inferiority		
White people outnumber him.	hate	implicit_hate	inferiority		
Yeah, and give it to a white, decent poor man.	hate	implicit_hate	inferiority		
The race is more than the color of the skin, the one voting for a crime against well-being, open a biological book.	hate	implicit_hate	inferiority		
After 50 years of integrated school education, blacks cannot compete at the white or Asian level in the same school district!	hate	implicit_hate	inferiority		
Terrible people don't need white soup trying to give us a bad name.	hate	implicit_hate	inferiority		
I went to college less than 20 miles from Tuskega.	hate	implicit_hate	inferiority		
He's lucky white people are infinitely more disciplined than africans.	hate	implicit_hate	inferiority		
I wonder what average iq is in Puerto rico?	hate	implicit_hate	inferiority		
It's the work of white people finally gathered together to fight monsters in our countries.	hate	implicit_hate	inferiority		
See Baltimore dc detroit chicago st. lois nola every black nation in Africa after European or Indian withdrawal.	hate	implicit_hate	inferiority		
:: These savages attack Thomas Jefferson's statue: stupid people with idiotic ideas or no ideas	hate	implicit_hate	inferiority		
: trt: jihad attack in Jerusalem : as the wild jihad against Israel reheated. Initial report (cont) h...	hate	implicit_hate	inferiority		
> The only thing that says about the white shooter is the subtlety... you'll find out he's white.	hate	implicit_hate	inferiority		
Nationalists only care about the interests of their people, not about some abstract dream of idiots.	hate	implicit_hate	inferiority		
Baxter sounds like a low-iq alcoholic who's too stupid to know he's not.	hate	implicit_hate	inferiority		
Black lies are just grabbing Wall Street with a little melanin.	hate	implicit_hate	inferiority		
Black people behave well in black countries because they have laws to control black people.	hate	implicit_hate	inferiority		
Blue lives matter when a cop's white.	hate	implicit_hate	inferiority		
That's why he's white trash for talking like that!	hate	implicit_hate	inferiority		
The Jews were white, and they were killed.	hate	implicit_hate	inferiority		
I've already said that overcrowding threatens a beautiful and intelligent white race.	hate	implicit_hate	inferiority		
I can help you with the Islamic virus.	hate	implicit_hate	inferiority		
I would just like to know a real world example of where racial equality has been demonstrated.	hate	implicit_hate	inferiority		
If you're virtuous, the non-white hordes will kill you for the last time, perhaps.	hate	implicit_hate	inferiority		
Control your own nations... your invasion only harms the ethnic composition of these individual European countries.	hate	implicit_hate	inferiority		
Slavery in America is nothing but farming, which is why black fertility was like white fertility.	hate	implicit_hate	inferiority		
"rt : Write today at JMT for my interview w/ Robert Spencer on ""a completely untrustworthy guide to Iran! """	hate	implicit_hate	irony		
"Racial hooligans like Paul Ryan must be banished to live in ""various "" strangers if they want to throw out such nonsense. """	hate	implicit_hate	irony		
: It is good to know that the tsunami has not weakened their energy to remain in the 7th century.	hate	implicit_hate	irony		
Selma plot... let me guess... perfectly good black people and generous Yankees and Jews fighting against an evil southern white man.	hate	implicit_hate	irony		
Some racist Libtars say that if #Trumm wins, they'll move to #canada. It's pretty funny! Why move to a white country instead of #mexico?	hate	implicit_hate	irony		
You think a Jew would be more sensitive to people filling up with gas.	hate	implicit_hate	irony		
"Here's a new one: ""Obama is Jewish"" through #tcot #tlot #wethers #backtips"""	hate	implicit_hate	irony		
All successful white men are Nazis, unless they push the anti-white program... could just as well take a fash.	hate	implicit_hate	irony		
He boasts that his black boyfriend manipulated him for 18 hours. He bathes in blood. It's a terrible optic in the south.	hate	implicit_hate	irony		
Our people here in America, who don't have a job... should be the first red and yellow blue white white, fat, fat Americans to come in.	hate	implicit_hate	irony		
#Cuckservative meme: We have to make sure this stays on the daily storm # withjewswelose	hate	implicit_hate	irony		
If you don't like white people, you've chosen the wrong country to live in.	hate	implicit_hate	irony		
Oh, no, if you're not black, I'm not white to be racist, it's a disaster.	hate	implicit_hate	irony		
Uh-huh, where's the white kimmin?	hate	implicit_hate	irony		
All the food: God ♪ ♪ White America ♪ Shouting ♪ ♪ Jeff steals black life ♪	hate	implicit_hate	irony		
Why did #jews & #catholics Europeans want to come to a country founded by evil white nationalist Protestants? #scalise	hate	implicit_hate	irony		
Yeah, put them down so they can pay taxpayers more than their food stamps.	hate	implicit_hate	irony		
Come back, you illegal aliens, we still have a lot of our born assholes that we can break to make room.	hate	implicit_hate	irony		
You're right, white people are very good, how they gave almost all the banking services to a small group is funny.	hate	implicit_hate	irony		
#Howtospotafeminist their favorite color is not white.	hate	implicit_hate	irony		
: I guess I'll tell all my successful friends in the south that they owe all this slave they never owned.	hate	implicit_hate	irony		
According to #white House June, the month of pride Igbt I am a white southern Christian can I be proud of it?	hate	implicit_hate	irony		
And in an even bigger surprise : a Jew calls another Jew a Jew to make another Jew cry > Wait	hate	implicit_hate	irony		
Don't tell him he's black, you're racist, white are the worst.	hate	implicit_hate	irony		
I think we should also teach children Zionism and white wine here in America.	hate	implicit_hate	irony		
If he was white, the media would demand that every white person in America pay the first black person they saw 100 dollars.	hate	implicit_hate	irony		
Imagine going back to the millennium to find the civilization your ancestors created just to find out they're white.	hate	implicit_hate	irony		
You still think sodomy is part of a white identity?	hate	implicit_hate	irony		
"Hate means ""white hatred "" means"" white racism "" and"" the hillbilly is innocent no matter what. """	hate	implicit_hate	irony		
"Combating the terror of jihad is opposed to people who have on average dark skins than whites, so it's racist. """	hate	implicit_hate	irony		
Okay, Ted Kachinsky is bombing your way to the white ethnostat.	hate	implicit_hate	irony		
Because it's completely out of the question for Muslims to kill white Christians, isn't it?	hate	implicit_hate	irony		
Hey, you want to join me as he/she's the perfect racist. Seems like two hateful white people-- a new friend of the gym.	hate	implicit_hate	irony		
If you miss your class to protest the trick, you'll soon be out of college!	hate	implicit_hate	irony		
Jews are now white nationalists.	hate	implicit_hate	irony		
I'm sure he could be in the closet!	hate	implicit_hate	irony		
Recruitment for jihad to a place of worship?	hate	implicit_hate	irony		
Somalia, tied to jihadists, worked with two un agencies: why not? What does un do these days, but play t...	hate	implicit_hate	irony		
The only problem with kkk is that they're white:	hate	implicit_hate	irony		
You better go back to the liberal plantation, or you're a traitor to your race, you're kidding, I hate those left-wing people.	hate	implicit_hate	irony		
"In addition, the use of a lower ""white "" may make you look less white. <--is it true? """	hate	implicit_hate	irony		
.. suspended blacks are also a symbol of white superiority, can we get rid of them?	hate	implicit_hate	irony		
Take him to David's statue to save the white race.	hate	implicit_hate	irony		
People must travel to more diverse continents, such as Africa (98 per cent black). They are much better with human rights!	hate	implicit_hate	irony		
You know what you're talking about, but she wasn't killed by a white cop, so until, Lakesha, we have statues and we have to attack Dolly Parton too white.	hate	implicit_hate	irony		
I have always believed that the feminist tactics of victims are one of the good policies of identity.	hate	implicit_hate	irony		
You know I'm called a racist every day, they don't see that I despise his white half.	hate	implicit_hate	irony		
Wow, you guys put up more posters!	hate	implicit_hate	irony		
: Moderate ilam is almost pregnant.	hate	implicit_hate	irony		
> White people don't exist > White people stole all our sheikhs only one.	hate	implicit_hate	irony		
After all, they're going to ban white sheets with vanilla ice cream and condemn snow as racist madness.	hate	implicit_hate	irony		
Honestly, I'm expecting the next left-hand attack on the Poc this support will be what you think it will be.	hate	implicit_hate	irony		
".. obviously you can beat any white people, just yelling ""Racist."" ""whites will even offer you their children."""	hate	implicit_hate	irony		
"RIT: ""The White Privileges Conference"" says that resistance to jihad is racist bags, Spencer robbers and Gell pamel."""	hate	implicit_hate	irony		
And yet, a white man gets 15 years for putting bacon on a mosque to walk!	hate	implicit_hate	irony		
Well, I like the '90s, people were happy and sure, and diversity didn't start to bite.	hate	implicit_hate	irony		
Did he import white mechanics to keep working?	hate	implicit_hate	irony		
I'm guessing it's about how Africans got rid of the evil white owners...	hate	implicit_hate	irony		
I don't think there's enough white players in the NBA!	hate	implicit_hate	irony		
I'm white and Jewish, can I join your party?	hate	implicit_hate	irony		
Instead of washing Muslims' feet, apologizing for Islam, Francis has to watch this video.	hate	implicit_hate	irony		
Look, until you guys point out that a Jew gets Zionism and Israel and we suppress a white nation.	hate	implicit_hate	irony		
But isn't milk a symbol of white superiority? #worldmilkday	hate	implicit_hate	irony		
Can I join you if I'm black, but I'm white inside?	hate	implicit_hate	irony		
It's not a hate crime, though, but it's just us whites committing hate crimes.	hate	implicit_hate	irony		
University report: a room full of whites is microaggressive.	hate	implicit_hate	irony		
We must put all white Christian men in prison who look like they could be killed in mass shootings!	hate	implicit_hate	irony		
White people make donations to white organizations bad. Jews do donations to Jewish organizations - that's good.	hate	implicit_hate	irony		
Your white honor is shown through your brother #maga	hate	implicit_hate	irony		
Mix Easter and Holocaust celebration: literal holocaustity!	hate	implicit_hate	irony		
I killed my own child, but I'm deeply concerned about my race that no one has ever said #altreight.	hate	implicit_hate	irony		
Because lesbian Jewish women have to tell white people how to raise their children.	hate	implicit_hate	irony		
White superiority forces black women to kill their children with planned parenthood?	hate	implicit_hate	irony		
I'm not sure you're a racist.	hate	implicit_hate	irony		
Modern definition of racism: any white person who does not hate other white people enough to please the left and non-white.	hate	implicit_hate	irony		
""" White nationalism is not the answer, "" said the Zionist. """	hate	implicit_hate	irony		
Oh, yeah, I forgot that the only real people are white people.	hate	implicit_hate	irony		
That's the logic of a unified state police force killing all white heroes.	hate	implicit_hate	irony		
Then it will be: If a white female and a white female reproduce them, they bring an unfair advantage to the nonwhite.	hate	implicit_hate	irony		
So you're an ethno-nationalist spencer, and he's a racist spencer?	hate	implicit_hate	irony		
Or... maybe your super thinks white people are the devil and won't fix your sink?	hate	implicit_hate	irony		
So white lives don't matter to Jews in Nashville?	hate	implicit_hate	irony		
What do Asians say about transgender fat kids, how about lesbian motorcyclists, why are you trying to balkanize the country more? It's almost like you have a plan here.	hate	implicit_hate	irony		
You know how to find out Spencer's a Jew, so tell me, then it's true.	hate	implicit_hate	irony		
Founded by a white rescue that beats women.	hate	implicit_hate	irony		
It's called thrompkins dumb misogynists racist white soupremacists regret that & Russians never call me a democrat or a liberal.	hate	implicit_hate	irony		
There's gonna be a white check of guilt, if you feel less than a little bad about your white honor, your place goes to a two-racial transvestite cripple.	hate	implicit_hate	irony		
Of course I want to destroy the enemy, but chatting with gay swastika width.	hate	implicit_hate	irony		
